Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3DkKyCC7BJViCAkirE2kMP,"0Qr2iLEeyLhd9rLHH1piYb","Orange Sunlight","Mensagem","Zopelar",2021-07-09,266133,14,spotify:user:seankmchenry,2023-01-09T16:43:16Z,"brazilian techno",0.743,0.477,0,-7.922,0,0.0639,0.00162,0.904,0.049,0.937,116.987,4
2hPO3IesyiI5jMaheEk1I7,"0Qr2iLEeyLhd9rLHH1piYb","Samba Estelar","Mensagem","Zopelar",2021-07-09,317419,2,spotify:user:seankmchenry,2023-01-09T16:43:16Z,"brazilian techno",0.705,0.852,7,-9.155,1,0.0498,0.0000514,0.756,0.107,0.683,124.026,4
51VYNOemwNXmvrBrFm0Ldb,"0Qr2iLEeyLhd9rLHH1piYb","Mensagem","Mensagem","Zopelar",2021-07-09,152238,1,spotify:user:seankmchenry,2023-01-09T16:43:16Z,"brazilian techno",0.397,0.294,9,-17.66,0,0.0346,0.722,0.926,0.0843,0.0514,133.625,4
5P6HGKEEpvChancfNGKoIN,"0Qr2iLEeyLhd9rLHH1piYb","Jump","Mensagem","Zopelar",2021-07-09,288426,3,spotify:user:seankmchenry,2023-01-09T16:43:16Z,"brazilian techno",0.81,0.639,4,-10.001,0,0.0984,0.0121,0.298,0.0816,0.533,119.858,4
627aHANF0P00kGtLkxdZLS,"0Qr2iLEeyLhd9rLHH1piYb","Fly With U","Mensagem","Zopelar",2021-07-09,266026,2,spotify:user:seankmchenry,2023-01-09T16:43:16Z,"brazilian techno",0.78,0.54,1,-7.278,1,0.0487,0.00611,0.808,0.0775,0.499,106.004,4
3ijQKgLXSCsyvrzalvVUMf,"0Qr2iLEeyLhd9rLHH1piYb","Funk Da Meia Noite","Mensagem","Zopelar",2021-07-09,279306,2,spotify:user:seankmchenry,2023-01-09T16:43:16Z,"brazilian techno",0.855,0.608,4,-10.849,0,0.0576,0.00583,0.866,0.143,0.585,111.011,4
1WcNrfF5e2aIEskaGpxnxD,"0Qr2iLEeyLhd9rLHH1piYb","Second Chance","Mensagem","Zopelar",2021-07-09,250760,1,spotify:user:seankmchenry,2023-01-09T16:43:16Z,"brazilian techno",0.73,0.592,2,-7.461,1,0.049,0.433,0.856,0.109,0.591,99.836,4
1hQG6W5I7ChdOWAaRmOBPq,"0Qr2iLEeyLhd9rLHH1piYb","Mônica","Mensagem","Zopelar",2021-07-09,155403,0,spotify:user:seankmchenry,2023-01-09T16:43:16Z,"brazilian techno",0.581,0.657,10,-15.599,0,0.0785,0.7,0.931,0.113,0.139,152.491,3
6XbFj35Vs8zfBPygQFe7vB,"0Qr2iLEeyLhd9rLHH1piYb","Process of Change","Universo","Zopelar",2021-03-12,257694,13,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno",0.225,0.386,7,-12.685,0,0.0319,0.259,0.886,0.0816,0.0698,102.66,1
7fJpSXw0yBa47OPDw5rdSP,"0Qr2iLEeyLhd9rLHH1piYb","Back in Tha Game","Universo","Zopelar",2021-03-12,328205,25,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno",0.588,0.744,0,-6.959,0,0.0423,0.00181,0.213,0.0974,0.64,116.944,4
14uRSo9erKTTGfme4nTbDh,"0Qr2iLEeyLhd9rLHH1piYb","Cidade Jovem","Universo","Zopelar",2021-03-12,329513,6,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno",0.643,0.921,4,-8.999,0,0.0397,0.0014,0.829,0.144,0.512,105.985,4
24e1Kp3GSaFCXoPzATO7xd,"0Qr2iLEeyLhd9rLHH1piYb","Fire Pit","Universo","Zopelar",2021-03-12,374193,10,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno",0.762,0.823,4,-6.626,0,0.0776,0.0000686,0.839,0.0712,0.662,116.994,4
2Y9dlUxJ8WAFChgMI9A0TT,"0Qr2iLEeyLhd9rLHH1piYb","City Heart","Universo","Zopelar",2021-03-12,215570,11,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno",0.716,0.784,2,-7.646,1,0.0489,0.0599,0.963,0.422,0.347,110.071,4
5jeNniP8eiB4Hyn5dYeatQ,"0Qr2iLEeyLhd9rLHH1piYb","Cruisin","Universo","Zopelar",2021-03-12,343710,8,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno",0.627,0.879,4,-7.856,0,0.0432,0.000735,0.766,0.0509,0.184,112.981,4
5PFkM0ugskF2KJRF699OwY,"0Qr2iLEeyLhd9rLHH1piYb","Funny Game","Universo","Zopelar",2021-03-12,252197,3,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno",0.706,0.639,10,-6.737,0,0.0553,0.00252,0.573,0.05,0.796,107.993,4
4fmf0cqCjmzfdFBpGXoNzz,"0Qr2iLEeyLhd9rLHH1piYb,37pVxtkN0BLmY6QOliGkJK","Universo - Steven Julien Edit","Universo","Zopelar,Steven Julien",2021-03-12,479720,3,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno,synth funk",0.414,0.603,6,-9.195,0,0.115,0.0426,0.86,0.0641,0.0304,179.524,4
3fZWKG2JtKy9j3fkwEZHch,"0Qr2iLEeyLhd9rLHH1piYb","Break The Cycle - Bonus Digital Only","Universo","Zopelar",2021-03-12,348882,3,spotify:user:seankmchenry,2023-01-09T16:43:17Z,"brazilian techno",0.38,0.323,10,-10.727,1,0.0338,0.491,0.283,0.137,0.117,84.636,3
3JiEeZTE7NPhnQYSdywCnv,"0Qr2iLEeyLhd9rLHH1piYb","Sozinho A Noite","Joy of Missing Out","Zopelar",2020-03-02,147391,4,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.0858,0.405,10,-10.649,1,0.0354,0.967,0.777,0.326,0.0378,172.666,4
1Wa4C8mpHirNLgQKPQy3sL,"0Qr2iLEeyLhd9rLHH1piYb","Looking Back","Joy of Missing Out","Zopelar",2020-03-02,237144,1,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.713,0.57,5,-5.213,0,0.0479,0.00296,0.885,0.0998,0.775,104.989,4
5XdG6x3sN4ARWl2bOgX0kZ,"0Qr2iLEeyLhd9rLHH1piYb","All I Want","Joy of Missing Out","Zopelar",2020-03-02,172083,2,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.656,0.716,10,-8.812,0,0.129,0.0111,0.856,0.346,0.73,90.023,4
2o6vohp9TZOtUPsvo0OeQU,"0Qr2iLEeyLhd9rLHH1piYb","Driving To the Sun","Joy of Missing Out","Zopelar",2020-03-02,189909,1,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.546,0.823,2,-8.744,1,0.1,0.0621,0.658,0.12,0.449,159.396,4
1NmZROpzgh06L1SdGhzI79,"0Qr2iLEeyLhd9rLHH1piYb","Azy","Joy of Missing Out","Zopelar",2020-03-02,136213,1,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.414,0.194,9,-15.722,1,0.0444,0.924,0.61,0.0915,0.0641,139.345,4
1NLoZoqK0vQMpSVyeqxii7,"0Qr2iLEeyLhd9rLHH1piYb","Hobart","Joy of Missing Out","Zopelar",2020-03-02,314311,1,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.667,0.544,10,-6.991,0,0.0531,0.004,0.814,0.0818,0.586,109.893,4
6aaa5H9CUQMUR4rFlq2uXM,"0Qr2iLEeyLhd9rLHH1piYb","Travel","Joy of Missing Out","Zopelar",2020-03-02,119094,1,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.257,0.322,1,-12.108,0,0.0292,0.937,0.908,0.112,0.0878,137.153,3
7K8P7mZBbPk0542cNg60L6,"0Qr2iLEeyLhd9rLHH1piYb","Jazz da XV","Joy of Missing Out","Zopelar",2020-03-02,356757,2,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.763,0.499,1,-10.331,1,0.0493,0.66,0.842,0.662,0.571,114.982,4
2KsZVVl1yzkFx9FdXmc9Ba,"0Qr2iLEeyLhd9rLHH1piYb","Welcome Stranger","Joy of Missing Out","Zopelar",2020-03-02,170000,2,spotify:user:seankmchenry,2023-01-09T16:43:18Z,"brazilian techno",0.691,0.445,11,-11.397,1,0.079,0.00546,0.708,0.108,0.386,96.082,4
