Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4R9Hjv2NDpGODwuvdQ7oiA,"0FI0kxP0BWurTz8cB8BBug","Wag The Dog","Wag The Dog","Mark Knopfler",1998-01-13,282733,22,spotify:user:seankmchenry,2022-05-16T13:23:12Z,"album rock,classic rock,folk rock,mellow gold",0.858,0.506,7,-8.224,1,0.0371,0.489,0.443,0.0811,0.928,111.175,4
4sHHlbAhMQDMBDMC93LDmF,"0FI0kxP0BWurTz8cB8BBug","Working On It","Wag The Dog","Mark Knopfler",1998-01-13,203333,25,spotify:user:seankmchenry,2022-05-16T13:23:12Z,"album rock,classic rock,folk rock,mellow gold",0.616,0.385,7,-15.421,1,0.0302,0.301,0.8,0.119,0.212,100.107,4
4e5CE3xvHZ08nqySpbbaxO,"0FI0kxP0BWurTz8cB8BBug","In The Heartland","Wag The Dog","Mark Knopfler",1998-01-13,160360,22,spotify:user:seankmchenry,2022-05-16T13:23:12Z,"album rock,classic rock,folk rock,mellow gold",0.423,0.364,4,-13.653,1,0.0341,0.818,0.9,0.127,0.523,163.688,4
4rL2QuYOtrxMrCSy5RAdMz,"0FI0kxP0BWurTz8cB8BBug","An American Hero","Wag The Dog","Mark Knopfler",1998-01-13,119133,18,spotify:user:seankmchenry,2022-05-16T13:23:12Z,"album rock,classic rock,folk rock,mellow gold",0.573,0.407,9,-12.749,0,0.0264,0.274,0.775,0.107,0.118,95.964,4
3tiUia9IXgKTaLRX25xNM9,"0FI0kxP0BWurTz8cB8BBug","Just Instinct","Wag The Dog","Mark Knopfler",1998-01-13,91786,18,spotify:user:seankmchenry,2022-05-16T13:23:12Z,"album rock,classic rock,folk rock,mellow gold",0.494,0.412,11,-14.202,0,0.0669,0.772,0.913,0.107,0.871,138.576,4
2jKYHGLk4hpSvkzYE8i4fu,"0FI0kxP0BWurTz8cB8BBug","Stretching Out","Wag The Dog","Mark Knopfler",1998-01-13,254560,21,spotify:user:seankmchenry,2022-05-16T13:23:12Z,"album rock,classic rock,folk rock,mellow gold",0.778,0.332,8,-14.187,0,0.0428,0.428,0.82,0.102,0.906,110.132,4
5N8d4xyx1clxrb8JxlTY03,"0FI0kxP0BWurTz8cB8BBug","Drooling National","Wag The Dog","Mark Knopfler",1998-01-13,110733,14,spotify:user:seankmchenry,2022-05-16T13:23:12Z,"album rock,classic rock,folk rock,mellow gold",0.488,0.693,7,-14.279,1,0.0582,0.662,0.874,0.0969,0.279,120.497,4
7uOiPUa1xaxpMyeENraDmJ,"0FI0kxP0BWurTz8cB8BBug","We're Going To War","Wag The Dog","Mark Knopfler",1998-01-13,203866,16,spotify:user:seankmchenry,2022-05-16T13:23:12Z,"album rock,classic rock,folk rock,mellow gold",0.77,0.379,7,-12.715,1,0.034,0.00861,0.744,0.0905,0.775,110.138,4
2BiueR07VGUbxGTjp9q9fA,"3bBWKHfpepPOychRNFzg4q","Flight Over Rio","Elegant Gypsy","Al Di Meola",1977,436600,32,spotify:user:seankmchenry,2022-05-16T13:23:21Z,"flamenco guitar,jazz fusion,jazz guitar",0.328,0.698,1,-11.7,0,0.0465,0.151,0.188,0.0671,0.423,149.919,4
2ZjGc10SrEJsghK8iTOqK6,"3bBWKHfpepPOychRNFzg4q","Midnight Tango","Elegant Gypsy","Al Di Meola",1977,448600,27,spotify:user:seankmchenry,2022-05-16T13:23:21Z,"flamenco guitar,jazz fusion,jazz guitar",0.355,0.614,5,-12.758,1,0.0796,0.203,0.219,0.0561,0.413,175.19,4
7lflARLzeb71KjdYPU7CFt,"3bBWKHfpepPOychRNFzg4q","Mediterranean Sundance","Elegant Gypsy","Al Di Meola",1977,312026,43,spotify:user:seankmchenry,2022-05-16T13:23:21Z,"flamenco guitar,jazz fusion,jazz guitar",0.42,0.346,4,-19.334,0,0.0312,0.794,0.836,0.259,0.553,90.802,4
1qPSxRyMfES52PbpxCzWcd,"3bBWKHfpepPOychRNFzg4q","Race With Devil On Spanish Highway","Elegant Gypsy","Al Di Meola",1977,378266,28,spotify:user:seankmchenry,2022-05-16T13:23:21Z,"flamenco guitar,jazz fusion,jazz guitar",0.318,0.772,2,-11.606,1,0.0633,0.139,0.531,0.238,0.661,88.648,4
3JIUGcYAFgwtjWy0DClmx3,"3bBWKHfpepPOychRNFzg4q","Lady of Rome, Sister of Brazil","Elegant Gypsy","Al Di Meola",1977,106240,30,spotify:user:seankmchenry,2022-05-16T13:23:21Z,"flamenco guitar,jazz fusion,jazz guitar",0.71,0.267,9,-16.617,1,0.0435,0.868,0.706,0.0676,0.18,110.909,4
5d1bISuOdjVc5ThkmNHOIP,"3bBWKHfpepPOychRNFzg4q","Elegant Gypsy Suite","Elegant Gypsy","Al Di Meola",1977,556426,24,spotify:user:seankmchenry,2022-05-16T13:23:21Z,"flamenco guitar,jazz fusion,jazz guitar",0.463,0.654,9,-11.139,1,0.0348,0.11,0.469,0.068,0.693,99.336,4
3GQ9AqwmLoYEeDw1Uhh70t,"620072iY1hcztLp6Z6EsyG","COLOURED NOISES","Birds of passage","Pepe Maina",2007-06-05,361907,3,spotify:user:seankmchenry,2022-05-24T17:23:02Z,"",0.323,0.273,7,-16.431,1,0.0397,0.903,0.913,0.0926,0.112,195.716,4
21Nkd0LuhTR8Ci75uzKfNM,"620072iY1hcztLp6Z6EsyG","AQUARAMA RAMA","Birds of passage","Pepe Maina",2007-06-05,433173,0,spotify:user:seankmchenry,2022-05-24T17:23:02Z,"",0.612,0.167,2,-17.802,1,0.0333,0.392,0.928,0.108,0.0615,120.002,4
